Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession
GCA_000699545.1	ASM69954v1	Podiceps cristatus					BGI_N338	male	Annotation submitted by BGI	1134922578	Scaffold	2014-06-11	JMFS01
GCA_000708925.1	ASM70892v1	Phalacrocorax carbo					BGI_N336	male	Annotation submitted by BGI	1138967842	Scaffold	2014-06-17	JMFI01
GCF_000708925.1	ASM70892v1	Phalacrocorax carbo					BGI_N336	male	NCBI Annotation Release 100	1138967842	Scaffold	2014-06-17	JMFI01
GCA_027560035.1	ASM2756003v1	Ceyx erithaca					1PJA27LXXK			985286327	Scaffold	2023-01-03	JANHFW01
GCA_028571105.1	ASM2857110v1	Tragopan temminckii					T81TGUPUVR			1081962741	Scaffold	2023-02-09	JAOWBP01
GCA_009823435.2	ASM982343v2	Nymphicus hollandicus					MissyBob_DYQSUJFBEA	female		1148932135	Scaffold	2022-11-30	WTXV02
GCA_025309335.1	ASM2530933v1	Aegypius monachus					KU 91378			1229976225	Scaffold	2022-09-20	JANUXQ01
GCA_000699945.1	ASM69994v1	Cathartes aura					BGI_N323	female	Annotation submitted by BGI	1152571117	Scaffold	2014-06-11	JMFT01
GCA_024611155.1	ASM2461115v1	Corythornis cristatus					O9RTRNBQEF			1009986054	Scaffold	2022-08-10	JANHGM01
GCA_025802355.1	ASM2580235v1	Corythornis madagascariensis					IRGN TOHTQJH8QJ			1028005587	Scaffold	2022-10-23	JAOYMX01
GCA_027564255.1	ASM2756425v1	Corythornis leucogaster					V5Z1USBMU3			1061868387	Scaffold	2023-01-03	JANITV01
GCA_025447775.1	ASM2544777v1	Ceyx margarethae					W250R15UOX			1013858382	Scaffold	2022-09-27	JAOEGR01
GCA_008033365.1	NUS_rp_v1	Pseudorectes ferrugineus					Z43706	female		995897499	Scaffold	2019-08-20	QWTY01
GCA_002909625.1	Bthov1.0	Bambusicola thoracicus					RTK389	female	Annotation submitted by University of Florida	1032295167	Scaffold	2018-01-31	PPHD01
GCA_004023745.1	ASM402374v1	Recurvirostra avosetta					S068744-2018			1193282475	Scaffold	2019-01-15	SAYO01
GCA_024222105.1	ASM2422210v1	Accipiter cooperii					ANSP 33350			1190545496	Scaffold	2022-07-12	JANBPI01
GCA_025728025.1	ASM2572802v1	Pithecophaga jefferyi					IRGN QV2FOJOLJG			1257274458	Scaffold	2022-10-17	JAOTQI01
GCA_025630025.2	ASM2563002v2	Gallinago media					UWBM 74179			1265690539	Scaffold	2023-05-25	JAOSLN02
GCA_030412455.1	ASM3041245v1	Luscinia megarhynchos					LM17			3435360	Scaffold	2023-07-05	JAOYSO01
GCA_027497755.1	ASM2749775v1	Aquila audax								1206897819	Scaffold	2022-12-30	JANVCD01
GCA_006937325.1	anoDid_nucDNA_orig	Anomalopteryx didiformis					TW95			1190759065	Scaffold	2019-07-12	SZQC01
GCA_003993805.1	UO_Hhiman_2.0	Himantopus leucocephalus					B60480			1116806074	Scaffold	2019-01-04	RSEF01
GCA_013401055.1	ASM1340105v1	Uria aalge					OUT-0019	female	Annotation submitted by B10K Consortium	1181532998	Scaffold	2020-07-10	VZUE01
GCA_016584745.2	ASM1658474v2	Phylloscopus trochilus trochilus					CP59525	male		1249305972	Scaffold	2022-11-18	WQNJ02
GCA_030060385.1	ASM3006038v1	Muscicapa striata striata				Europe	MNHN ZO 2018-449			1083147749	Contig	2023-05-22	JAREIS01
GCA_009792885.1	CLO_EAlp_1.0	Eremophila alpestris peregrina					EALPPER07	male		1041021471	Scaffold	2019-12-23	WMCF01
GCA_025345505.1	ASM2534550v1	Todiramphus chloris collaris				Philippines	FMNH_358326	female		1215164945	Scaffold	2022-09-21	JANVCC01
GCA_014362705.1	C_janthina_scaffold_01	Columba janthina nitens								1083634036	Scaffold	2020-08-22	BMBC01
GCA_020466415.1	ASM2046641v1	Ammodramus savannarum pratensis				Eastern subspecies	155320	female		906668489	Scaffold	2021-10-13	JAHXMQ01
GCA_001870855.1	T_cupido_pinnatus_GPC_3440_v1	Tympanuchus cupido pinnatus					GPC 3440	female		983776544	Scaffold	2016-11-07	MOXI01
GCA_002844005.1	Godwit_v1	Limosa lapponica baueri					BTGAFAM01	pooled male and female	Annotation submitted by Universidade Federal do Rio de Janeiro	1034771378	Scaffold	2017-12-15	LXVZ01
GCA_002029285.1	NIATT_ARIZONA	Patagioenas fasciata monilis					BTP2013	female	Annotation submitted by University of California, Santa Cruz	1089149042	Scaffold	2017-03-15	LSYS01
GCA_000586395.1	tetTet1	Lyrurus tetrix tetrix								657025294	Contig	2014-03-08	JDSL01
GCA_917880015.2	bAraRub1_ORGONE04	Ara rubrogenys								1161924866	Scaffold	2022-01-30	CAKMNV02
GCA_027886175.1	LUni_PhColl_1	Phylloscopus collybita					SZ8851	female		1247501225	Contig	2023-01-17	JAJNNQ01
GCA_011125475.1	OU_Melaur_1	Melanerpes aurifrons						female		1309609574	Contig	2020-03-17	WWNC01
GCA_022539395.1	myiCay2020	Myiozetetes cayanensis					MyiCay16	female		1075628138	Scaffold	2022-03-10	JAKSEM01
GCF_022539395.1	myiCay2020	Myiozetetes cayanensis					MyiCay16	female	GCF_022539395.1-RS_2023_02	1075628138	Scaffold	2022-03-10	JAKSEM01
GCA_021398385.1	ASM2139838v1	Gyps himalayensis					XN01			1190689946	Contig	2022-01-10	JACFZI01
GCA_002167245.1	SpoHypox2.0	Sporophila hypoxantha					MACN 5231			1067760248	Scaffold	2017-06-05	NDFG01
GCA_017590055.1	ASM1759005v1	Onychostruthus taczanowskii					IOZ18803	pooled male and female		1033716807	Scaffold	2021-03-26	JAGGNI01
GCF_017590055.1	ASM1759005v1	Onychostruthus taczanowskii					IOZ18803	pooled male and female	NCBI Annotation Release 100	1033716807	Scaffold	2021-03-26	JAGGNI01
GCA_017590135.1	ASM1759013v1	Pyrgilauda ruficollis					IOZ18807	pooled male and female		1045967452	Scaffold	2021-03-26	JAGGNJ01
GCF_017590135.1	ASM1759013v1	Pyrgilauda ruficollis					IOZ18807	pooled male and female	NCBI Annotation Release 100	1045967452	Scaffold	2021-03-26	JAGGNJ01
GCA_017590115.1	ASM1759011v1	Montifringilla adamsi					IOZ19161	pooled male and female		1047401841	Scaffold	2021-03-26	JAGGNK01
GCA_902168055.1	ARATINGA-SOLSTITIALIS-ASSEMBLY-PRJEB33153	Aratinga solstitialis								1169445099	Scaffold	2019-11-14	CABHOG01
GCA_010084205.1	BGI_Echrysol.V1	Eudyptes chrysolophus					MP PEI 1		Annotation submitted by BGI-Shenzhen	1365695164	Scaffold	2020-01-31	VULJ01
GCA_013398455.1	ASM1339845v1	Loxia curvirostra					OUT-0011	male	Annotation submitted by B10K Consortium	1028271095	Scaffold	2020-07-10	VZSM01
GCA_003697955.1	ASM369795v1	Calidris pygmaea		Meinypilgyno				female		1178350366	Scaffold	2018-10-30	QJSC01
GCA_013397075.1	ASM1339707v1	Rhabdornis inornatus					B10K-DU-001-29	female	Annotation submitted by B10K Consortium	1038144357	Scaffold	2020-07-10	VWZS01
GCA_013396655.1	ASM1339665v1	Campylorhamphus procurvoides					B10K-DU-001-09	female	Annotation submitted by B10K Consortium	1047499103	Scaffold	2020-07-10	WBMV01
GCA_013398115.1	ASM1339811v1	Falcunculus frontatus					B10K-DU-029-77	male	Annotation submitted by B10K Consortium	1042685034	Scaffold	2020-07-10	VZRV01
GCA_013399195.1	ASM1339919v1	Dicrurus megarhynchus					B10K-DU-001-48		Annotation submitted by B10K Consortium	1051520678	Scaffold	2020-07-10	VXAD01
GCA_020086605.1	ASM2008660v1	Lanius collurio					143784	male		1205271558	Scaffold	2021-09-21	JACBWW01
GCA_013397725.1	ASM1339772v1	Rhagologus leucostigma					B10K-DU-029-40	male	Annotation submitted by B10K Consortium	1045193615	Scaffold	2020-07-10	VZTD01
GCA_013399875.1	ASM1339987v1	Gymnorhina tibicen					B10K-DU-002-05	female	Annotation submitted by B10K Consortium	1052262442	Scaffold	2020-07-10	VXAZ01
GCA_003342965.1	aptOwe1	Apteryx owenii					O20599	male		1231276503	Scaffold	2018-07-26	PTFC01
GCA_013397115.1	ASM1339711v1	Edolisoma coerulescens					B10K-DU-001-25	female	Annotation submitted by B10K Consortium	1042448157	Scaffold	2020-07-10	VWZW01
GCA_003343035.1	aptRow1	Apteryx rowi					R43461	male		1228902913	Scaffold	2018-07-26	PTFB01
GCF_003343035.1	aptRow1	Apteryx rowi					R43461	male	NCBI Annotation Release 100	1228902913	Scaffold	2018-07-26	PTFB01
GCA_013397155.1	ASM1339715v1	Irena cyanogastra					B10K-DU-001-26	female	Annotation submitted by B10K Consortium	1036547706	Scaffold	2020-07-10	VWZV01
GCA_013396755.1	ASM1339675v1	Sclerurus mexicanus					B10K-DU-001-03	female	Annotation submitted by B10K Consortium	1046918217	Scaffold	2020-07-10	VWZF01
GCA_013400975.1	ASM1340097v1	Atrichornis clamosus					B10K-DU-029-61	female	Annotation submitted by B10K Consortium	1047502076	Scaffold	2020-07-10	WBMZ01
GCA_013397755.1	ASM1339775v1	Cnemophilus loriae					B10K-DU-029-38	female	Annotation submitted by B10K Consortium	1043492295	Scaffold	2020-07-10	VZTF01
GCA_013396875.1	ASM1339687v1	Vireo altiloquus					B10K-DU-001-22	female	Annotation submitted by B10K Consortium	1064977253	Scaffold	2020-07-10	VZRF01
GCA_013396995.1	ASM1339699v1	Dicaeum eximium					B10K-DU-001-34	female	Annotation submitted by B10K Consortium	1015048105	Scaffold	2020-07-10	VWZP01
GCA_013400115.1	ASM1340011v1	Rhinopomastus cyanomelas					B10K-DU-002-35	female	Annotation submitted by B10K Consortium	994785294	Scaffold	2020-07-10	VXBP01
GCA_013398015.1	ASM1339801v1	Oreocharis arfaki					B10K-DU-029-42	male	Annotation submitted by B10K Consortium	1039561598	Scaffold	2020-07-10	VZRR01
GCA_010077935.1	BGI_Sdem.V1	Spheniscus demersus					AP 173		Annotation submitted by BGI-Shenzhen	1275043525	Scaffold	2020-01-31	VUKX01
GCA_013396915.1	ASM1339691v1	Stercorarius parasiticus					B10K-DU-001-20	female	Annotation submitted by B10K Consortium	1159854254	Scaffold	2020-07-10	VWZL01
GCA_013397845.1	ASM1339784v1	Melanocharis versteri					B10K-DU-029-37		Annotation submitted by B10K Consortium	1030540361	Scaffold	2020-07-10	VZTG01
GCA_013398055.1	ASM1339805v1	Ifrita kowaldi					B10K-DU-029-41	male	Annotation submitted by B10K Consortium	1041499962	Scaffold	2020-07-10	VZRS01
GCA_010076225.1	BGI_Smag.V1	Spheniscus magellanicus					AH 6		Annotation submitted by BGI-Shenzhen	1260229131	Scaffold	2020-01-31	VUKV01
GCA_013397955.1	ASM1339795v1	Grantiella picta					B10K-DU-029-50	male	Annotation submitted by B10K Consortium	1014521746	Scaffold	2020-07-10	VZRM01
GCA_013389825.1	ASM1338982v1	Crypturellus undulatus					B10K-MSB-37135	female	Annotation submitted by B10K Consortium	1021424416	Scaffold	2020-07-06	VWPW01
GCA_013397895.1	ASM1339789v1	Origma solitaria					B10K-DU-029-52	male	Annotation submitted by B10K Consortium	1033410747	Scaffold	2020-07-10	VZRL01
GCA_013397235.1	ASM1339723v1	Lanius ludovicianus					B10K-DU-001-65	female	Annotation submitted by B10K Consortium	1040379146	Scaffold	2020-07-10	VYXG01
GCA_013399225.1	ASM1339922v1	Rhipidura dahli					B10K-DU-001-49	male	Annotation submitted by B10K Consortium	1019433115	Scaffold	2020-07-10	VXAC01
GCA_013400235.1	ASM1340023v1	Oriolus oriolus					B10K-DU-002-24	female	Annotation submitted by B10K Consortium	1038866468	Scaffold	2020-07-10	VXBT01
GCA_013398995.1	ASM1339899v1	Alaudala cheleensis					B10K-DU-001-15	female	Annotation submitted by B10K Consortium	1069224903	Scaffold	2020-07-10	VWYE01
GCA_003713265.1	ParRag_1.0	Paradisaea raggiana					B10K-DU-002-22	female		1037508133	Scaffold	2018-11-06	RAHK01
GCA_013396525.1	ASM1339652v1	Chaetorhynchus papuensis					B10K-CU-031-19		Annotation submitted by B10K Consortium	1045122515	Scaffold	2020-07-10	VWYX01
GCA_013396895.1	ASM1339689v1	Loxia leucoptera					B10K-DU-001-19	female	Annotation submitted by B10K Consortium	1027807383	Scaffold	2020-07-10	VWZM01
GCA_013397825.1	ASM1339782v1	Onychorhynchus coronatus					B10K-DU-028-75	female	Annotation submitted by B10K Consortium	1072513727	Scaffold	2020-07-10	VZRK01
GCA_013397595.1	ASM1339759v1	Halcyon senegalensis					B10K-DU-024-03	male	Annotation submitted by B10K Consortium	1137736700	Scaffold	2020-07-10	WBNJ01
GCA_010080355.1	BGI_Emin.V1	Eudyptula minor					Gonzo		Annotation submitted by BGI-Shenzhen	1462615782	Scaffold	2020-01-31	VULC01
GCA_013401255.1	ASM1340125v1	Urocolius indicus					B10K-DU-030-59	female	Annotation submitted by B10K Consortium	1109599764	Scaffold	2020-07-10	WBNH01
GCA_013400755.1	ASM1340075v1	Pelecanoides urinatrix					B10K-DU-012-45	female	Annotation submitted by B10K Consortium	1205479880	Scaffold	2020-07-10	VZTQ01
GCA_013398475.1	ASM1339847v1	Asarcornis scutulata					OUT-0051	female	Annotation submitted by B10K Consortium	1117983497	Scaffold	2020-07-10	VZSO01
GCA_013397815.1	ASM1339781v1	Aleadryas rufinucha					B10K-DU-029-36	male	Annotation submitted by B10K Consortium	1050107613	Scaffold	2020-07-10	VZTH01
GCA_013399895.1	ASM1339989v1	Serilophus lunatus					B10K-DU-002-03	male	Annotation submitted by B10K Consortium	1040370003	Scaffold	2020-07-10	VXBA01
GCA_013397135.1	ASM1339713v1	Pachyramphus minor					B10K-DU-001-72	female	Annotation submitted by B10K Consortium	1054898176	Scaffold	2020-07-10	VYXB01
GCA_013399835.1	ASM1339983v1	Leptocoma aspasia					B10K-DU-001-35	male	Annotation submitted by B10K Consortium	1035751609	Scaffold	2020-07-10	VXAX01
GCA_013397375.1	ASM1339737v1	Toxostoma redivivum					B10K-DU-002-15	female	Annotation submitted by B10K Consortium	1032473302	Scaffold	2020-07-10	VXBI01
GCA_013396355.1	ASM1339635v1	Menura novaehollandiae					B10K-CU-030-46	male	Annotation submitted by B10K Consortium	1060480557	Scaffold	2020-07-10	VWPS01
GCA_013399675.1	ASM1339967v1	Mesembrinibis cayennensis					B10K-DU-001-44	female	Annotation submitted by B10K Consortium	1196180878	Scaffold	2020-07-10	VXAT01
GCA_013397175.1	ASM1339717v1	Platysteira castanea					B10K-DU-001-71	female	Annotation submitted by B10K Consortium	1058888301	Scaffold	2020-07-10	VYXC01
GCA_013396635.1	ASM1339663v1	Penelope pileata					B10K-DU-001-08	male	Annotation submitted by B10K Consortium	1027970763	Scaffold	2020-07-10	WBMW01
GCA_013396695.1	ASM1339669v1	Sakesphorus luctuosus					B10K-DU-001-06	female	Annotation submitted by B10K Consortium	1080150879	Scaffold	2020-07-10	VWZD01
GCA_013397435.1	ASM1339743v1	Erythrocercus mccallii					B10K-DU-002-60	male	Annotation submitted by B10K Consortium	1030110820	Scaffold	2020-07-10	VZRG01
GCA_013397455.1	ASM1339745v1	Crotophaga sulcirostris					B10K-DU-003-44	male	Annotation submitted by B10K Consortium	1077958271	Scaffold	2020-07-10	VYZB01
GCA_013400915.1	ASM1340091v1	Pardalotus punctatus					B10K-DU-029-51	female	Annotation submitted by B10K Consortium	1032444361	Scaffold	2020-07-10	VZTX01
GCA_013397795.1	ASM1339779v1	Orthonyx spaldingii					B10K-DU-029-32	male	Annotation submitted by B10K Consortium	1034662073	Scaffold	2020-07-10	VZTJ01
GCA_010085355.1	BGI_Echrysoc.V1	Eudyptes chrysocome					RH 110-1		Annotation submitted by BGI-Shenzhen	1231062710	Scaffold	2020-01-31	VULL01
GCA_013400955.1	ASM1340095v1	Drymodes brunneopygia					B10K-DU-030-03		Annotation submitted by B10K Consortium	1058966521	Scaffold	2020-07-10	VZTZ01
GCA_902810485.1	skylark_genome	Alauda arvensis								1028664229	Scaffold	2020-03-13	CADDXX01
GCA_025920805.1	Ptraversi_NRM_v1	Petroica traversi				Rangatira	09_131	female		1069471501	Scaffold	2022-10-31	JAHLSL01
GCA_013400255.1	ASM1340025v1	Sitta europaea					B10K-DU-002-25	female	Annotation submitted by B10K Consortium	1020783426	Scaffold	2020-07-10	VXBS01
GCA_013397915.1	ASM1339791v1	Daphoenositta chrysoptera					B10K-DU-029-47	male	Annotation submitted by B10K Consortium	1033680849	Scaffold	2020-07-10	VZRO01
GCA_013397695.1	ASM1339769v1	Centropus unirufus					B10K-DU-017-25	female	Annotation submitted by B10K Consortium	1048837197	Scaffold	2020-07-10	VYZI01
GCA_013399695.1	ASM1339969v1	Formicarius rufipectus					B10K-DU-001-43	male	Annotation submitted by B10K Consortium	1044275471	Scaffold	2020-07-10	VXAU01
GCA_013389845.1	ASM1338984v1	Crypturellus soui					B10K-MSB-42743	female	Annotation submitted by B10K Consortium	1043359976	Scaffold	2020-07-06	VWPX01
GCA_013399305.1	ASM1339930v1	Rostratula benghalensis					B10K-DU-006-20	female	Annotation submitted by B10K Consortium	1103097556	Scaffold	2020-07-10	VXAI01
GCA_013396485.1	ASM1339648v1	Ptilorrhoa leucosticta					B10K-CU-031-17	female	Annotation submitted by B10K Consortium	1110559233	Scaffold	2020-07-10	VWYY01
GCA_013397975.1	ASM1339797v1	Machaerirhynchus nigripectus					B10K-DU-029-43	female	Annotation submitted by B10K Consortium	1044536230	Scaffold	2020-07-10	VZRQ01
GCA_013400355.1	ASM1340035v1	Certhia brachydactyla					B10K-DU-002-20	male	Annotation submitted by B10K Consortium	1028791262	Scaffold	2020-07-10	VXBV01
GCA_013397775.1	ASM1339777v1	Eulacestoma nigropectus					B10K-DU-029-39	male	Annotation submitted by B10K Consortium	1040437550	Scaffold	2020-07-10	VZTE01
GCA_013399855.1	ASM1339985v1	Oxyruncus cristatus					B10K-DU-002-07		Annotation submitted by B10K Consortium	1062467484	Scaffold	2020-07-10	VXAY01
GCA_013396775.1	ASM1339677v1	Cephalopterus ornatus					B10K-DU-001-01	female	Annotation submitted by B10K Consortium	1061560279	Scaffold	2020-07-10	VZRE01
GCA_013399175.1	ASM1339917v1	Odontophorus gujanensis					B10K-DU-001-53	female	Annotation submitted by B10K Consortium	977719362	Scaffold	2020-07-10	VXAB01
GCA_013400175.1	ASM1340017v1	Phainopepla nitens					B10K-DU-002-32	female	Annotation submitted by B10K Consortium	1027439719	Scaffold	2020-07-10	VXBQ01
GCA_013397865.1	ASM1339786v1	Struthidea cinerea					B10K-DU-029-33	male	Annotation submitted by B10K Consortium	1042119318	Scaffold	2020-07-10	VZTI01
GCA_013397995.1	ASM1339799v1	Malurus elegans					B10K-DU-029-44	female	Annotation submitted by B10K Consortium	1013601814	Scaffold	2020-07-10	VZRP01
GCA_013399945.1	ASM1339994v1	Ploceus nigricollis					B10K-DU-001-79	female	Annotation submitted by B10K Consortium	1035454922	Scaffold	2020-07-10	VXBC01
GCA_013399215.1	ASM1339921v1	Spizaetus tyrannus					B10K-DU-007-42	male	Annotation submitted by B10K Consortium	1184661130	Scaffold	2020-07-10	VXAF01
GCA_013398175.1	ASM1339817v1	Climacteris rufus					B10K-DU-029-53	male	Annotation submitted by B10K Consortium	1058972301	Scaffold	2020-07-10	VZRZ01
GCA_013399735.1	ASM1339973v1	Tyrannus savana					B10K-DU-001-37	female	Annotation submitted by B10K Consortium	1055499921	Scaffold	2020-07-10	VXAW01
GCA_013397935.1	ASM1339793v1	Dasyornis broadbenti					B10K-DU-029-49		Annotation submitted by B10K Consortium	1024798037	Scaffold	2020-07-10	VZRN01
GCA_013396975.1	ASM1339697v1	Bucco capensis					B10K-DU-001-16	female	Annotation submitted by B10K Consortium	988120178	Scaffold	2020-07-10	VWZO01
GCA_013397015.1	ASM1339701v1	Myiagra hebetior					B10K-DU-001-33	female	Annotation submitted by B10K Consortium	1049898355	Scaffold	2020-07-10	VWZQ01
GCA_013396555.1	ASM1339655v1	Tachuris rubrigastra					B10K-CU-031-13	female	Annotation submitted by B10K Consortium	1059681690	Scaffold	2020-07-10	VZRD01
GCA_013398125.1	ASM1339812v1	Aegotheles bennettii					B10K-DU-029-76	female	Annotation submitted by B10K Consortium	1089119258	Scaffold	2020-07-10	VZRW01
GCA_025434525.1	Mal_alb_V1.0	Malurus alboscapulatus				Enga Province		male		1011911379	Scaffold	2022-09-27	JANSVG01
GCA_013399975.1	ASM1339997v1	Indicator maculatus					B10K-DU-001-78	female	Annotation submitted by B10K Consortium	1127548528	Scaffold	2020-07-10	VXBD01
GCA_013396735.1	ASM1339673v1	Grallaria varia					B10K-DU-001-02	female	Annotation submitted by B10K Consortium	1056033657	Scaffold	2020-07-10	VWZG01
GCA_013397195.1	ASM1339719v1	Hylia prasina					B10K-DU-001-70	female	Annotation submitted by B10K Consortium	1029027164	Scaffold	2020-07-10	VYXD01
GCA_013400315.1	ASM1340031v1	Bombycilla garrulus					B10K-DU-002-23	female	Annotation submitted by B10K Consortium	1032116443	Scaffold	2020-07-10	VXBU01
GCA_013400195.1	ASM1340019v1	Aramus guarauna					B10K-DU-002-11	female	Annotation submitted by B10K Consortium	1170510309	Scaffold	2020-07-10	VXBL01
GCA_013401175.1	ASM1340117v1	Xiphorhynchus elegans					OUT-0059	male	Annotation submitted by B10K Consortium	1059658982	Scaffold	2020-07-10	VZUH01
GCA_013400575.1	ASM1340057v1	Peucedramus taeniatus					B10K-DU-002-52	female	Annotation submitted by B10K Consortium	1037528998	Scaffold	2020-07-10	WBNO01
GCA_013399355.1	ASM1339935v1	Herpetotheres cachinnans					B10K-DU-005-78	male	Annotation submitted by B10K Consortium	1175298361	Scaffold	2020-07-10	VXAJ01
GCA_013399615.1	ASM1339961v1	Amazona guildingii					B10K-DU-001-46	female	Annotation submitted by B10K Consortium	1133570109	Scaffold	2020-07-10	VXAR01
GCA_013397055.1	ASM1339705v1	Pachycephala philippinensis					B10K-DU-001-28	female	Annotation submitted by B10K Consortium	1041722788	Scaffold	2020-07-10	VWZT01
GCA_013399035.1	ASM1339903v1	Quiscalus mexicanus					B10K-DU-001-31	female	Annotation submitted by B10K Consortium	1041398572	Scaffold	2020-07-10	VWYF01
GCA_013397245.1	ASM1339724v1	Thryothorus ludovicianus					B10K-DU-001-68	female	Annotation submitted by B10K Consortium	1031447271	Scaffold	2020-07-10	VZTB01
GCA_013398745.1	ASM1339874v1	Sapayoa aenigma					B10K-DU-030-41	male	Annotation submitted by B10K Consortium	1015910493	Scaffold	2020-07-10	VZSY01
GCA_013400415.1	ASM1340041v1	Scytalopus superciliaris					B10K-DU-002-46	female	Annotation submitted by B10K Consortium	1061776118	Scaffold	2020-07-10	VXBX01
GCA_013401195.1	ASM1340119v1	Pomatorhinus ruficollis					B10K-IZ-033-81	male	Annotation submitted by B10K Consortium	1065047492	Scaffold	2020-07-10	VZSW01
GCA_013399095.1	ASM1339909v1	Psophia crepitans					B10K-DU-001-60	male	Annotation submitted by B10K Consortium	1169253548	Scaffold	2020-07-10	VWZZ01
GCA_013400335.1	ASM1340033v1	Eurystomus gularis					B10K-DU-002-51	female	Annotation submitted by B10K Consortium	1130134188	Scaffold	2020-07-10	VZZY01
GCA_013400495.1	ASM1340049v1	Nicator chloris					B10K-DU-002-40	female	Annotation submitted by B10K Consortium	1040737262	Scaffold	2020-07-10	WAAE01
GCA_013398975.1	ASM1339897v1	Catharus fuscescens					B10K-DU-001-17	female	Annotation submitted by B10K Consortium	1041802491	Scaffold	2020-07-10	VWYD01
GCA_013397465.1	ASM1339746v1	Furnarius figulus					B10K-DU-003-06	male	Annotation submitted by B10K Consortium	1020012445	Scaffold	2020-07-10	VYZD01
GCA_013397025.1	ASM1339702v1	Oceanodroma tethys					B10K-DU-001-32	female	Annotation submitted by B10K Consortium	1189005779	Scaffold	2020-07-10	VWZR01
GCA_013397555.1	ASM1339755v1	Urocynchramus pylzowi					B10K-DU-012-38	female	Annotation submitted by B10K Consortium	1030914293	Scaffold	2020-07-10	VZRH01
GCA_013400435.1	ASM1340043v1	Pycnonotus jocosus					B10K-DU-002-42	female	Annotation submitted by B10K Consortium	1024591993	Scaffold	2020-07-10	VWYP01
GCA_013399135.1	ASM1339913v1	Heliornis fulica					B10K-DU-001-55	female	Annotation submitted by B10K Consortium	1097085761	Scaffold	2020-07-10	VXBZ01
GCA_013396375.1	ASM1339637v1	Ardeotis kori					B10K-CU-031-01	female	Annotation submitted by B10K Consortium	1150486959	Scaffold	2020-07-10	VWPR01
GCA_013399115.1	ASM1339911v1	Anseranas semipalmata					B10K-DU-001-57	male	Annotation submitted by B10K Consortium	1131429283	Scaffold	2020-07-10	VXAA01
GCA_013399495.1	ASM1339949v1	Corythaixoides concolor					B10K-DU-011-20	female	Annotation submitted by B10K Consortium	1187728577	Scaffold	2020-07-10	VXAM01
GCA_013397715.1	ASM1339771v1	Calcarius ornatus					B10K-DU-015-28	male	Annotation submitted by B10K Consortium	1056295845	Scaffold	2020-07-10	WBNL01
GCA_010365825.1	OtuSun1.0	Otus sunia					oso-nibr-517			1231433939	Scaffold	2020-02-04	PYXB01
GCA_013399275.1	ASM1339927v1	Trogon melanurus					B10K-DU-007-40	male	Annotation submitted by B10K Consortium	1107860996	Scaffold	2020-07-10	VXAG01
GCA_013397295.1	ASM1339729v1	Polioptila caerulea					B10K-DU-001-66	female	Annotation submitted by B10K Consortium	1038028908	Scaffold	2020-07-10	VYXF01
GCA_013398075.1	ASM1339807v1	Notiomystis cincta					B10K-DU-029-75		Annotation submitted by B10K Consortium	1025225744	Scaffold	2020-07-10	VZRX01
GCA_013399455.1	ASM1339945v1	Anthoscopus minutus					B10K-DU-011-42		Annotation submitted by B10K Consortium	978848727	Scaffold	2020-07-10	VWYI01
GCA_013389885.1	ASM1338988v1	Geococcyx californianus					B10K-CU-031-07	female	Annotation submitted by B10K Consortium	1134037073	Scaffold	2020-07-06	VWPV01
GCA_013397275.1	ASM1339727v1	Burhinus bistriatus					B10K-DU-001-64	female	Annotation submitted by B10K Consortium	1208588303	Scaffold	2020-07-10	VYXH01
GCA_027576695.1	ASM2757669v1	Cossypha archeri					FMNH birds-355602			1133050683	Scaffold	2023-01-06	JAODLE01
GCA_013400515.1	ASM1340051v1	Erpornis zantholeuca					B10K-DU-002-58	female	Annotation submitted by B10K Consortium	1013967273	Scaffold	2020-07-10	VZTN01
GCA_013398315.1	ASM1339831v1	Nothoprocta pentlandii					B10K-MSB-04	female	Annotation submitted by B10K Consortium	984657498	Scaffold	2020-07-10	VZSG01
GCA_026259535.1	ASM2625953v1	Buteo rufinus					KU 119971			1192236555	Scaffold	2022-11-21	JAOYNR01
GCA_013399935.1	ASM1339993v1	Cinclus mexicanus					B10K-DU-001-77	female	Annotation submitted by B10K Consortium	996999814	Scaffold	2020-07-10	VWYM01
GCA_013400835.1	ASM1340083v1	Zapornia atra					B10K-DU-011-47	female	Annotation submitted by B10K Consortium	1119122118	Scaffold	2020-07-10	VZTU01
GCA_013389865.1	ASM1338986v1	Piaya cayana					B10K-DU-008-47	female	Annotation submitted by B10K Consortium	1151257265	Scaffold	2020-07-06	WAAB01
GCA_013400935.1	ASM1340093v1	Turnix velox					B10K-DU-029-46	male	Annotation submitted by B10K Consortium	968890544	Scaffold	2020-07-10	VZTY01
GCA_028571045.1	ASM2857104v1	Scolopax bukidnonensis					QIRVQZKBFH	female		1114678506	Scaffold	2023-02-09	JAOWAV01
GCA_025769955.1	ASM2576995v1	Setophaga kirtlandii					IRGN Skeen-017AABWJ			1067421360	Scaffold	2022-10-20	JAOYNM01
